src_SA2_MAIN16,nbr_SA2_MAIN16,LENGTH
102011029,102011034,0.0613838622
102011029,102011040,9.0105925422e-05
102011029,102011042,0.0002669012
102011030,102011032,0.0199490397
102011030,102011033,0.0932726894
102011030,102011035,0.0693052268
102011030,102011036,0.0223742615
102011030,102011040,0.0766965104
102011030,102011042,0.09164441
102011030,102021049,0.2787517567
102011030,102021051,0.3051320045
102011030,115021297,0.059136699
102011030,115021298,0.1043706002
102011030,115031299,0.4483619721
102011031,102011032,0.0637135459
102011031,102011034,0.0525708837
102011031,102011036,0.0430903399
102011031,102011038,0.0147315078
102011031,102011039,0.0393426505
102011031,102011041,0.0725791275
102011031,102011043,0.0151530662
102011031,102021047,0.036187686600000005
102011032,102011030,0.0199490397
102011032,102011031,0.0637135459
102011032,102011033,0.0072839315
102011032,102011035,0.0348101923
102011032,102011037,0.013468446
102011032,102011043,0.0399712058
102011033,102011030,0.0932726894
102011033,102011032,0.0072839315
102011033,102011037,0.040205912999999996
102011033,102011042,0.0176985009
102011034,102011029,0.0613838622
102011034,102011031,0.0525708837
102011034,102011038,0.0069214855
102011034,102011039,0.0295675964
102011035,102011030,0.0693052268
102011035,102011032,0.0348101923
102011035,102011036,0.0234603048
102011035,102011043,0.0264217731
102011036,102011030,0.0223742615
102011036,102011031,0.0430903399
102011036,102011035,0.0234603048
102011036,102011043,0.060961767699999996
102011036,102021047,0.0171574071
102011036,102021051,0.0698372358
102011037,102011032,0.013468446
102011037,102011033,0.040205912999999996
102011037,102011042,0.0349035658
102011038,102011031,0.0147315078
102011038,102011034,0.0069214855
102011039,102011031,0.0393426505
102011039,102011034,0.0295675964
102011039,102011041,0.0416904563
102011040,102011029,9.0105925422e-05
102011040,102011030,0.0766965104
102011040,102011042,0.07872115610000001
102011041,102011031,0.0725791275
102011041,102011039,0.0416904563
102011041,102021044,0.06514165969999999
102011041,102021047,0.0218261569
102011042,102011029,0.0002669012
102011042,102011030,0.09164441
102011042,102011033,0.0176985009
102011042,102011037,0.0349035658
102011042,102011040,0.07872115610000001
102011043,102011031,0.0151530662
102011043,102011032,0.0399712058
102011043,102011035,0.0264217731
102011043,102011036,0.060961767699999996
102021044,102011041,0.06514165969999999
102021044,102021047,0.024761031800000003
102021044,102021053,0.024328019700000002
102021045,102021046,0.0633441518
102021045,102021048,0.0063826861
102021045,102021049,0.021211079900000002
102021045,102021050,0.0512835363
102021045,102021056,0.0392479731
102021046,102021045,0.0633441518
102021046,102021050,0.0173798314
102021046,102021054,0.011944366100000001
102021047,102011031,0.036187686600000005
102021047,102011036,0.0171574071
102021047,102011041,0.0218261569
102021047,102021044,0.024761031800000003
102021047,102021051,0.08938785619999999
102021047,102021055,0.0680912405
102021048,102021045,0.0063826861
102021048,102021056,0.09772220529999999
102021048,102021057,0.017593706100000002
102021049,102011030,0.2787517567
102021049,102021045,0.021211079900000002
102021049,102021051,0.2146873628
102021049,102021055,0.056113948
102021049,102021056,0.1076820927
102021049,102021057,0.0200482691
102021050,102021045,0.0512835363
102021050,102021046,0.0173798314
102021050,102021052,0.0254329195
102021051,102011030,0.3051320045
102021051,102011036,0.0698372358
102021051,102021047,0.08938785619999999
102021051,102021049,0.2146873628
102021051,102021055,0.0654208003
102021052,102021050,0.0254329195
102021053,102021044,0.024328019700000002
102021053,102021054,0.0291006032
102021054,102021046,0.011944366100000001
102021054,102021053,0.0291006032
102021055,102021047,0.0680912405
102021055,102021049,0.056113948
102021055,102021051,0.0654208003
102021055,102021057,0.0969989871
102021056,102021045,0.0392479731
102021056,102021048,0.09772220529999999
102021056,102021049,0.1076820927
102021056,102021057,0.09806075789999999
102021057,102021048,0.017593706100000002
102021057,102021049,0.0200482691
102021057,102021055,0.0969989871
102021057,102021056,0.09806075789999999
115011290,115011291,0.0464519054
115011290,115011296,0.005197231599999999
115011290,125041490,0.011297166599999998
115011290,125041491,0.010706595900000001
115011290,125041494,0.0351936131
115011291,115011290,0.0464519054
115011291,116011307,0.0162149518
115011291,116021309,0.0263574674
115011291,125041494,0.0006847177000000001
115011294,115021297,0.09088368890000001
115011294,115041302,0.0024055386
115011296,115011290,0.005197231599999999
115011296,125021476,0.022128296699999998
115011296,125041490,0.0207460759
115011296,126011496,0.0270774368
115021297,102011030,0.059136699
115021297,115011294,0.09088368890000001
115021297,115021298,0.5705848403
115021297,115031299,0.36635315590000006
115021297,115031300,0.20441392320000001
115021297,115041301,0.18795174260000003
115021297,115041302,0.127998729
115021297,121021403,0.0225971685
